Source,Target,TargetSize
4528,4529,8.0
4528,4530,8.0
4528,4531,8.0
4528,4532,8.0
4528,4534,8.0
4528,4535,8.0
4528,4536,8.0
4528,4537,8.0
4528,4538,7.752
4528,4539,8.0
4528,4540,8.0
4528,4541,8.0
4528,4542,8.0
4528,4543,8.0
4528,4525,1.399
4528,4526,3.221
4528,4527,7.362
4528,4544,7.905
4528,4545,6.627
4528,4546,1.924
4528,4547,4.437
4529,4528,8.0
4529,4530,8.0
4529,4531,8.0
4529,4532,8.0
4529,4533,8.0
4529,4534,8.0
4529,4535,8.0
4529,4536,8.0
4529,4537,8.0
4529,4539,2.594
4529,4540,3.029
4529,4512,0.48
4529,4513,0.572
4529,4514,0.425
4529,4515,0.226
4529,4516,0.999
4529,4517,0.556
4529,4518,6.183
4529,4519,5.048
4529,4520,5.07
4529,4521,4.828
4529,4522,3.946
4529,4523,3.435
4529,4524,2.551
4529,4525,0.997
4529,4526,3.453
4529,4527,8.0
4529,4501,2.246
4530,4528,8.0
4530,4529,8.0
4530,4531,8.0
4530,4533,8.0
4530,4534,8.0
4530,4535,8.0
4530,4536,8.0
4530,4537,8.0
4530,4538,0.738
4530,4539,8.0
4530,4540,8.0
4530,4518,6.496
4530,4519,5.963
4530,4520,6.566
4530,4521,6.504
4530,4523,1.36
4530,4524,0.529
4530,4525,0.1
4530,4527,8.0
4531,4528,8.0
4531,4529,8.0
4531,4530,8.0
4531,4532,8.0
4531,4533,8.0
4531,4537,5.979
4531,4539,0.914
4531,4515,1.011
4531,4516,0.594
4531,4517,0.835
4531,4518,3.439
4531,4519,5.168
4531,4520,7.84
4531,4521,8.0
4531,4522,7.708
4531,4523,7.246
4531,4524,8.0
4531,4525,4.282
4531,4526,8.0
4531,4527,8.0
4532,4528,8.0
4532,4529,8.0
4532,4531,8.0
4532,4533,8.0
4532,4534,8.0
4532,4535,8.0
4532,4536,8.0
4532,4537,8.0
4532,4538,7.785
4532,4539,8.0
4532,4540,8.0
4532,4541,8.0
4532,4542,8.0
4532,4543,8.0
4532,4521,2.434
4532,4523,7.926
4532,4524,8.0
4532,4525,2.049
4532,4526,4.947
4532,4527,7.812
4532,4544,7.896
4532,4545,6.577
4532,4546,1.15
4532,4547,3.806
4533,4529,8.0
4533,4530,8.0
4533,4531,8.0
4533,4532,8.0
4533,4534,8.0
4533,4535,8.0
4533,4536,8.0
4533,4537,8.0
4533,4538,0.13
4533,4539,4.76
4533,4540,8.0
4534,4528,8.0
4534,4529,8.0
4534,4530,8.0
4534,4532,8.0
4534,4533,8.0
4534,4535,8.0
4534,4536,8.0
4534,4537,8.0
4534,4539,3.167
4534,4540,3.946
4534,4526,0.525
4535,4528,8.0
4535,4529,8.0
4535,4530,8.0
4535,4532,8.0
4535,4533,8.0
4535,4534,8.0
4535,4536,8.0
4535,4537,8.0
4535,4539,3.031
4535,4540,3.535
4535,4524,0.061
4535,4525,0.315
4535,4526,0.776
4536,4528,8.0
4536,4529,8.0
4536,4530,8.0
4536,4532,6.515
4536,4533,7.953
4536,4534,8.0
4536,4535,8.0
4536,4537,8.0
4536,4521,0.083
4536,4523,0.121
4536,4524,0.71
4536,4525,0.629
4536,4526,1.308
4536,4527,2.647
4537,4528,5.666
4537,4529,8.0
4537,4530,8.0
4537,4531,0.836
4537,4532,4.195
4537,4533,7.783
4537,4534,8.0
4537,4535,8.0
4537,4536,8.0
4537,4538,8.0
4537,4539,8.0
4537,4540,8.0
4537,4541,1.949
4537,4520,0.442
4537,4521,1.769
4537,4522,0.386
4537,4523,1.299
4537,4524,1.367
4537,4525,0.76
4537,4526,1.493
4537,4527,6.16
4537,5904,2.009
4537,5891,3.815
4537,5896,1.533
4537,5874,2.685
4537,5876,4.004
4537,5877,0.877
4537,5859,0.055
4537,5860,1.462
4537,5867,1.841
4538,4528,4.427
4538,4530,4.29
4538,4532,3.906
4538,4533,0.517
4538,4537,2.731
4538,4539,8.0
4538,4540,8.0
4538,4541,1.917
4538,4527,6.17
4539,4528,4.572
4539,4529,7.08
4539,4530,7.194
4539,4531,0.196
4539,4532,4.321
4539,4533,7.386
4539,4534,5.647
4539,4535,4.193
4539,4537,2.856
4539,4538,8.0
4539,4540,8.0
4539,4541,2.253
4539,4524,0.599
4539,4525,0.616
4539,4526,0.998
4539,4527,6.666
4540,4528,3.008
4540,4529,5.485
4540,4530,6.742
4540,4532,4.097
4540,4533,7.291
4540,4534,4.398
4540,4535,3.056
4540,4537,2.829
4540,4538,8.0
4540,4539,8.0
4540,4541,5.063
4540,4542,2.098
4540,4543,7.127
4540,4524,0.325
4540,4525,0.579
4540,4526,0.88
4540,4527,6.884
4540,4544,3.504
4540,4545,3.447
4541,4528,2.468
4541,4532,3.909
4541,4537,2.814
4541,4538,8.0
4541,4539,7.016
4541,4540,5.631
4541,4542,8.0
4541,4543,8.0
4541,4527,6.936
4541,4544,8.0
4541,4545,6.571
4541,4546,4.0
4541,4547,6.899
4542,4528,2.446
4542,4532,3.886
4542,4540,0.893
4542,4541,8.0
4542,4543,8.0
4542,4527,6.784
4542,4544,8.0
4542,4545,6.631
4542,4546,7.278
4542,4547,6.916
4542,4548,0.173
4542,628,1.767
4542,5936,0.669
4542,5926,0.997
4542,5935,0.577
4542,5908,1.599
4543,4528,2.084
4543,4532,3.607
4543,4540,1.621
4543,4541,8.0
4543,4542,7.425
4543,4527,6.811
4543,4544,8.0
4543,4545,6.88
4543,4546,7.3
4543,4547,6.966
4543,4548,4.421
4543,628,1.762
4512,4529,0.763
4512,4513,8.0
4512,4514,8.0
4512,4515,8.0
4512,4516,8.0
4512,4517,8.0
4512,4518,2.527
4512,4519,1.679
4512,4520,2.332
4512,4521,3.461
4512,4522,1.645
4512,4523,2.405
4512,4524,1.836
4512,4525,0.972
4512,4496,7.129
4512,4498,4.782
4512,4499,8.0
4512,4501,5.146
4512,4502,8.0
4512,4503,7.787
4512,4504,8.0
4512,4505,8.0
4512,4506,7.112
4512,4507,8.0
4512,4508,8.0
4512,4509,7.966
4512,4510,8.0
4512,4511,8.0
4512,4495,6.739
4513,4529,0.956
4513,4512,8.0
4513,4514,8.0
4513,4515,8.0
4513,4516,8.0
4513,4517,8.0
4513,4518,2.487
4513,4519,1.682
4513,4520,2.421
4513,4521,3.471
4513,4522,1.763
4513,4523,2.417
4513,4524,1.905
4513,4525,0.989
4513,4498,4.806
4513,4499,8.0
4513,4500,5.817
4513,4501,4.847
4513,4502,8.0
4513,4503,7.648
4513,4504,8.0
4513,4505,7.542
4513,4506,6.702
4513,4507,7.993
4513,4508,8.0
4513,4509,7.946
4513,4510,8.0
4513,4511,8.0
4513,4495,6.175
4514,4529,0.96
4514,4512,8.0
4514,4513,8.0
4514,4515,8.0
4514,4516,8.0
4514,4517,8.0
4514,4518,2.488
4514,4519,1.697
4514,4520,2.404
4514,4521,3.525
4514,4522,1.74
4514,4523,2.483
4514,4524,1.929
4514,4525,1.08
4514,4496,7.891
4514,4498,4.438
4514,4499,8.0
4514,4500,5.853
4514,4501,6.167
4514,4502,8.0
