X,Y,fid,id,@id,description,fixme,height,highway,lamp_model,lamp_mount,lamp_type,leaf_type,level,light:count,light:lit,light:power,light:tilt,man_made,operator,source,support,tower:type,Z_1
76980.897514758,71107.5070309718,1,node/432818370,node/432818370,,,,street_lamp,,,SON,,,,,,,,,Mapillary (2019-02-21),,,292.475006103516
76919.2318097987,71016.4280517795,2,node/432818371,node/432818371,,,,street_lamp,,,SON,,,,,,,,,Mapillary (2019-02-21),,,291.350006103516
76901.5301179533,70855.2221189213,3,node/432818372,node/432818372,,,,street_lamp,,,SON,,,,,,,,,Mapillary (2019-02-21),,,289.764984130859
76902.5965788272,70964.8860565124,4,node/563652186,node/563652186,,,,street_lamp,,,SON,,,,,,,,,Mapillary (2019-02-21),,,290.744995117188
77178.7459731062,71204.1883854116,5,node/563652190,node/563652190,,,,street_lamp,Thorn Alpha 4,,low_pressure_sodium,,,,,,,,,Mapillary (2019-02-21),,,297.089996337891
74240.798401259,71265.0711666274,6,node/566931085,node/566931085,,,,street_lamp,Philips MA60,,SOX,,,,,,,,,,,,296.042510986328
77019.8013057916,71146.4803807543,7,node/649413507,node/649413507,,,,street_lamp,,,SON,,,,,,,,,Mapillary (2019-02-21),,,292.807495117188
74193.6486238304,70591.7288160698,8,node/930001324,node/930001324,,,,street_lamp,Philips MA50,,SOX,,,,,,,,,,,,312.522491455078
77050.2916833529,71169.2312185319,9,node/1118360241,node/1118360241,,,,street_lamp,Thorn Alpha 4,,low_pressure_sodium,,,,,,,,,Mapillary (2019-02-21),,,293.007507324219
77106.0388277288,71193.6596161599,10,node/1118360250,node/1118360250,,,,street_lamp,Thorn Alpha 4,,low_pressure_sodium,,,,,,,,,Mapillary (2019-02-21),,,295.649993896484
77136.0140524032,71200.3619141748,11,node/1118360257,node/1118360257,,,,street_lamp,Thorn Alpha 4,,low_pressure_sodium,,,,,,,,,Mapillary (2019-02-21),,,296.657501220703
76850.4972626028,71167.5723111064,12,node/1131586959,node/1131586959,,,,street_lamp,,,SON,,,,,,,,,Mapillary (2019-02-21),,,292.737487792969
76849.6035376413,71134.7846669742,13,node/1131588015,node/1131588015,,,,street_lamp,,,SON,,,,,,,,,Mapillary (2019-02-21),,,292.617492675781
76857.8675141033,71001.5920491535,14,node/1131588522,node/1131588522,,,,street_lamp,,,SON,,,,,,,,,Mapillary (2019-02-21),,,291.482482910156
76851.5039264954,71067.7502907062,15,node/1131588869,node/1131588869,,,,street_lamp,,,SON,,,,,,,,,Mapillary (2019-02-21),,,292.049987792969
74282.7234548186,73150.3949618631,16,node/1131588908,node/1131588908,,,,street_lamp,Philips MA60,,SOX,,,,,,,,,,,,283.720001220703
76998.78997528,71279.6240279384,17,node/1131589034,node/1131589034,,,,street_lamp,Schréder RX N,,high_pressure_sodium,,,,,,,,,Mapillary (2019-02-21),,,299.600006103516
76851.4345929349,71200.7492082599,18,node/1131589035,node/1131589035,,,,street_lamp,,,SON,,,,,,,,,Mapillary (2019-02-21),,,292.975006103516
76867.9199307522,70935.2315440646,19,node/1131589197,node/1131589197,,,,street_lamp,,,SON,,,,,,,,,Mapillary (2019-02-21),,,290.977508544922
77073.5133352525,71220.013906817,20,node/1131589409,node/1131589409,,,,street_lamp,AEG PLS,,low_pressure_sodium,,,,,,,,,Mapillary (2019-02-21),,,292.547485351562
72226.7293375372,77343.3957964291,25,node/1296216262,node/1296216262,,,,street_lamp,Philips MA60,,low_pressure_sodium,,,1.0,,180.0,,,,,,,337.267486572266
72151.3209793669,77343.4588106143,26,node/1296216268,node/1296216268,,,,street_lamp,Philips MA60,,low_pressure_sodium,,,1.0,,180.0,,,,,,,337.040008544922
72448.2424396618,77331.5299972834,27,node/1296216270,node/1296216270,,,,street_lamp,Philips MA60,,low_pressure_sodium,,,1.0,,180.0,,,,,,,336.149993896484
72299.5772873788,77341.2241910392,28,node/1296216280,node/1296216280,,,,street_lamp,Philips MA60,,low_pressure_sodium,,,1.0,,180.0,,,,,,,337.105010986328
72612.2560535584,77334.9545897546,33,node/1331591094,node/1331591094,,,,street_lamp,Philips SGS203,,high_pressure_sodium,,,,,,,,,,,,335.954986572266
72571.2311057639,77320.8513598493,34,node/1331591197,node/1331591197,,,,street_lamp,Philips MA60,,low_pressure_sodium,,,1.0,,180.0,,,,,,,334.582489013672
68620.0322247896,64321.4642889511,35,node/1424152809,node/1424152809,,,,street_lamp,,,,,,,,,,,,,,,288.507507324219
68595.5002954507,64326.4311843417,36,node/1424152814,node/1424152814,,,,street_lamp,,,,,,,,,,,,,,,289.005004882812
73644.8653590588,73913.0114803311,45,node/2040655665,node/2040655665,,,,street_lamp,Philips MA60,,SOX,,,,,,,,,,,,291.195007324219
74351.8297624397,73314.5430532093,47,node/2207331225,node/2207331225,,,,street_lamp,Philips MA60,,SOX,,,,,,,,,,,,284.632507324219
73693.4829935043,73354.6867455027,48,node/2390479356,node/2390479356,,,,street_lamp,Philips MA60,,SOX,,,,,,,,,,,,295.692504882812
73618.2970925854,73880.331803917,49,node/2390482586,node/2390482586,,,,street_lamp,Philips MA60,,SOX,,,,,,,,,,,,291.257507324219
73618.667788897,73813.5869047258,50,node/2390482588,node/2390482588,,,,street_lamp,Philips MA60,,SOX,,,,,,,,,,,,291.040008544922
73619.5975784902,73948.1869921514,51,node/2390482600,node/2390482600,,,,street_lamp,Philips MA60,,SOX,,,,,,,,,,,,291.130004882812
68573.3113451753,64322.8181808812,53,node/2592864673,node/2592864673,,,,street_lamp,,,,,,,,,,,,,,,290.864990234375
78027.1528691828,72934.5922271704,75,node/2955112109,node/2955112109,,,,street_lamp,,,,,,,,,,,,,,,290.775024414062
78012.5608806478,72971.7677448206,76,node/2955112120,node/2955112120,,,,street_lamp,,,,,,,,,,,,,,,288.502502441406
